185.195.71.218:18080,1266.5057182312012,True,Elite,CH
5.39.69.35:46544,4557.854890823364,True,Anonymous,FR
159.203.5.54:58493,4572.819948196411,True,Anonymous,CA
67.213.210.60:14074,2686.314821243286,True,Anonymous,US
66.29.128.241:37052,4362.243413925171,True,Anonymous,US
92.204.135.37:47189,7199.32222366333,False,Anonymous,US
212.55.99.157:1080,7336.0655307769775,False,Anonymous,RU
206.189.184.213:25766,4734.026670455933,True,Anonymous,US
66.29.128.246:17870,7587.719678878784,False,Anonymous,US
23.105.170.33:55392,5827.170372009277,False,Anonymous,US
172.105.58.227:1080,367.60520935058594,True,Anonymous,IN
199.204.248.124:49724,5631.5202713012695,False,Anonymous,US
66.23.233.210:22952,2908.151388168335,True,Anonymous,US
195.133.250.173:3128,5181.491374969482,True,Anonymous,RU
51.75.126.150:22379,7268.791437149048,False,Anonymous,FR
46.105.105.223:29489,6135.404109954834,False,Anonymous,FR
170.106.179.191:33468,3666.271448135376,False,Anonymous,US
92.204.135.37:26855,5069.205522537231,False,Anonymous,US
51.75.126.150:38666,5151.041030883789,False,Anonymous,FR
67.210.146.50:11080,5262.980699539185,False,Anonymous,US
103.130.183.165:8199,4160.431623458862,False,Anonymous,ID
118.67.129.21:1080,3349.8446941375732,False,Anonymous,KR
199.204.248.154:58800,3912.721633911133,False,Anonymous,US
199.204.248.124:34735,7004.208087921143,False,Anonymous,US
212.83.138.60:52691,3661.449909210205,False,Anonymous,FR
199.204.248.124:55208,6949.9170780181885,False,Anonymous,US
85.159.230.204:3129,6789.434194564819,False,Anonymous,DE
166.62.121.102:45886,2507.15970993042,False,Anonymous,US
198.12.250.231:5091,2557.5404167175293,False,Anonymous,US
103.187.98.25:6969,905.6603908538818,False,Anonymous,BD
167.86.69.65:44972,5053.217887878418,False,Anonymous,DE
178.255.44.60:61656,2708.9099884033203,False,Anonymous,PL
82.165.198.169:45928,4503.725051879883,False,Anonymous,DE
178.141.157.164:7788,3153.2979011535645,False,Anonymous,RU
